Id,Référence,Boîtier,Quantité,Désignation,Fournisseur et réf.
1,C12,SM0603_Capa,1,C,
2,"C13,C9",C-10F,2,CP,
3,"C4,C1",C_0603,2,100n,
4,"C6,C3,C5,C2,C7,C8,C10,C11",SM0603_Capa,8,100n,
5,"D12,D5,D2,D1",SM0603,4,LED,
6,D13,SM1206,1,DIODESCH,
7,J5,RJ12_E,1,RJ12,
8,"K10,K5,K4,K3,K2,K1,K6,K7,K9",KK-3-H,9,CONN_3,
9,"K8,P10,P8",KK-2-H,3,CONN_2,
10,P1,he10-16d,1,HE10-16,
11,"P5,P4",KK-4-H,2,CONN_4,
12,"P7,P3",KK-4,2,CONN_4,
13,P9,KK-6-H,1,CONN_6,
14,"Q2,Q4,Q7,Q8,Q1",SOT-23,5,BSS123,
15,Q3,SOT23EBC,1,BSS123,
16,Q5,SOT-223,1,IRFL9014TRPBF,
17,Q6,SOT-23,1,2N7002,
18,"R10,R9",SM0603_Resistor,2,1k,ok
19,"R11,R12,R20,R21,R22,R23,R24,R25",SM0603_Resistor,8,47k,ok
20,"R13,R16,R18",R_0603,3,12k,
21,"R14,R17,R19",R_0603,3,22k,
22,"R33,R32,R31,R30",SM0603_Resistor,4,3.2k,
23,"R37,R36,R35,R34",SM0603_Resistor,4,1.5k,
24,R38,SM0603,1,220k,
25,"R4,R3,R6",SM0603_Resistor,3,330,
26,"R43,R42,R41,R40,R1,R2",SM0603_Resistor,6,4.7k,
27,"R46,R45",SM0603_Resistor,2,R,
28,R47,R_0603,1,100k,
29,R5,SM0603_Resistor,1,10K,
30,"R51,R50,R48,R15",R_0603,4,10k,
31,"R8,R7",SM0603_Resistor,2,2.1k,
32,RVAR1,R-AJ-CMS,1,4.7K,
33,SW1,SW_DIP_x8_Piano,1,SW_DIP_x08,
34,SW2,SW,1,SW_PUSH_SMALL,
35,U1,PIC32½64,1,PIC32MX795F512H,
36,"U2,U6",SSOP24,2,74LVCC3245,
37,U4,VSSOP-8,1,PCA9306,
38,U7,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,24C512,
39,U8,SSOP8,1,LM75A,
40,U9,SSOP8,1,PCF8563,
41,X1,LFXTAL003000,1,CRYSTAL1,
